,comp_name,job_addr,job_link,job_posted,job_srch,job_title
0,Build Colorado,Denver,http://jobs.ourcareerpages.com/job/339722?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Accounting Administrator 
1,Build Colorado,Denver,http://jobs.ourcareerpages.com/job/334908?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Payroll Administrator 
2,Build Colorado,Commerce City,http://jobs.ourcareerpages.com/job/337523?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Estimator Masonry 
3,Build Colorado,Fort Lupton,http://jobs.ourcareerpages.com/job/150883?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Sitework Construction Estimator 
4,Build Colorado,Ft Lupton,http://jobs.ourcareerpages.com/job/150871?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Sitework Construction Estimator 
5,Build Colorado,Thornton,http://jobs.ourcareerpages.com/job/289281?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Plumber / Backhoe Lead Operator 
6,Build Colorado,Thornton,http://jobs.ourcareerpages.com/job/289280?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Journeyman Plumber 
7,Build Colorado,Greeley,http://jobs.ourcareerpages.com/job/289274?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Journeyman Plumber Greeley and Fort Collins 
8,Build Colorado,Golden,http://jobs.ourcareerpages.com/job/320923?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter Foreman Ft. Collins / Greeley 
9,Build Colorado,Golden,http://jobs.ourcareerpages.com/job/320921?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter Denver- Fort Collins 
10,Build Colorado,Rifle,http://jobs.ourcareerpages.com/job/317210?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,"Carpenter Rifle, Colorado Area "
11,Build Colorado,De Beque,http://jobs.ourcareerpages.com/job/322679?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter Foreman Colorado (DeBeque) 
12,Build Colorado,Rifle,http://jobs.ourcareerpages.com/job/317213?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,"Carpenter Foreman-Rifle, CO "
13,Build Colorado,Glenwood Springs,http://jobs.ourcareerpages.com/job/338976?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Surveyor 
14,Build Colorado,Cheyenne,http://jobs.ourcareerpages.com/job/287102?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Drywall Finisher 
15,Build Colorado,Cheyenne,http://jobs.ourcareerpages.com/job/286738?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Laborer 
16,Build Colorado,Cheyenne,http://jobs.ourcareerpages.com/job/286731?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter 
17,Build Colorado,Fort Collins,http://jobs.ourcareerpages.com/job/285096?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Drywall Finisher 
18,Build Colorado,Fort Collins,http://jobs.ourcareerpages.com/job/275220?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Laborer 
19,Build Colorado,Fort Collins,http://jobs.ourcareerpages.com/job/275216?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter 
20,Build Colorado,Centennial,http://jobs.ourcareerpages.com/job/266911?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Concrete Finisher 
21,Build Colorado,Aspen,http://jobs.ourcareerpages.com/job/228628?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter 
22,Build Colorado,Eagle,http://jobs.ourcareerpages.com/job/228626?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Carpenter 
23,Build Colorado,Eagle,http://jobs.ourcareerpages.com/job/228616?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Laborer 
24,Build Colorado,Aspen,http://jobs.ourcareerpages.com/job/228606?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Laborer 
25,Build Colorado,Centennial,http://jobs.ourcareerpages.com/job/221648?source=AGC-CO&jobFeedCode=AGC-CO&returnURL=https://www.buildcolorado.com/,,Construction,Laborer 
